Symbol,Sequences,Shape_X,Shape_y
AAPL,65,"(65, 60, 11)","(65,)"
ADBE,65,"(65, 60, 11)","(65,)"
AMZN,65,"(65, 60, 11)","(65,)"
AXISBANK,64,"(64, 60, 11)","(64,)"
BHARTIARTL,64,"(64, 60, 11)","(64,)"
BTC-USD,121,"(121, 60, 11)","(121,)"
CL=F,67,"(67, 60, 11)","(67,)"
CRM,65,"(65, 60, 11)","(65,)"
ETH-USD,121,"(121, 60, 11)","(121,)"
GC=F,67,"(67, 60, 11)","(67,)"
GOOGL,65,"(65, 60, 11)","(65,)"
HDFCBANK,64,"(64, 60, 11)","(64,)"
HINDUNILVR,64,"(64, 60, 11)","(64,)"
INFY,64,"(64, 60, 11)","(64,)"
ITC,64,"(64, 60, 11)","(64,)"
KOTAKBANK,64,"(64, 60, 11)","(64,)"
META,65,"(65, 60, 11)","(65,)"
MSFT,65,"(65, 60, 11)","(65,)"
NFLX,65,"(65, 60, 11)","(65,)"
NVDA,65,"(65, 60, 11)","(65,)"
RELIANCE,64,"(64, 60, 11)","(64,)"
SBIN,64,"(64, 60, 11)","(64,)"
TCS,64,"(64, 60, 11)","(64,)"
TSLA,65,"(65, 60, 11)","(65,)"
^DJI,65,"(65, 60, 11)","(65,)"
^FTSE,66,"(66, 60, 11)","(66,)"
^GDAXI,68,"(68, 60, 11)","(68,)"
^GSPC,65,"(65, 60, 11)","(65,)"
^HSI,64,"(64, 60, 11)","(64,)"
^IXIC,65,"(65, 60, 11)","(65,)"
^N225,61,"(61, 60, 11)","(61,)"
